City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
493,lichinga,-13.3128,35.2406,66.29,94,75,8.05,MZ,1675551381
494,fuzhou,26.0614,119.3061,51.69,94,100,1.41,CN,1675551381
495,taoudenni,22.6783,-3.9836,59.85,37,100,12.97,ML,1675551381
496,sabzevar,36.2126,57.6819,38.91,37,61,5.68,IR,1675551382
497,margate,51.3813,1.3862,46.31,76,100,1.99,GB,1675551121
498,acapulco,16.8634,-99.8901,87.62,51,0,5.75,MX,1675551215
499,gumia,23.7833,85.8167,57.74,39,6,5.19,IN,1675551383
500,senanga,-16.1167,23.2667,69.46,88,96,5.23,ZM,1675551383
501,torrelavega,43.3494,-4.0479,50.81,78,76,1.01,ES,1675551384
502,baculin,7.4525,126.5842,76.23,81,99,5.21,PH,1675551384
503,scarborough,54.2797,-0.4044,43.16,75,82,4.0,GB,1675551384
504,minab,27.1467,57.0801,64.17,76,11,4.12,IR,1675551385
505,clearlake,38.9582,-122.6264,50.34,63,100,4.92,US,1675551385
506,dzhebariki-khaya,62.2167,135.8,-45.09,100,90,0.74,RU,1675551386
507,kendari,-3.945,122.4989,76.68,90,100,1.14,ID,1675551120
508,methoni,36.8197,21.7049,46.22,56,10,32.86,GR,1675551387
509,pa sang,18.5262,98.9394,70.0,80,25,1.16,TH,1675551388
510,sovetskiy,61.3614,63.5842,4.37,98,100,0.83,RU,1675551388
511,ranfurly,-45.1333,170.1,77.11,57,100,10.69,NZ,1675551388
512,oistins,13.0667,-59.5333,78.89,78,75,21.85,BB,1675551389
513,juneau,58.3019,-134.4197,34.21,94,100,4.61,US,1675551106
514,cockburn town,21.4612,-71.1419,78.76,69,40,13.8,TC,1675551196
515,chake chake,-5.2459,39.7666,76.87,84,100,6.13,TZ,1675551390
516,barcelona,41.3888,2.159,58.32,48,0,16.11,ES,1675551390
517,bahia honda,22.9036,-83.1592,74.59,80,50,12.19,CU,1675551390
518,vostok,46.4856,135.8833,-2.06,96,100,4.16,RU,1675551391
519,bage,-31.3314,-54.1069,78.58,31,0,11.5,BR,1675551391
520,hendek,40.7994,30.7481,36.73,82,99,2.68,TR,1675551392
521,ushibuka,32.1906,130.0228,43.72,62,8,8.77,JP,1675551392
522,turochak,52.2576,87.1224,13.17,98,100,0.4,RU,1675551392
523,cabedelo,-6.9811,-34.8339,81.27,79,58,12.01,BR,1675551173
524,teahupoo,-17.8333,-149.2667,82.36,78,69,15.17,PF,1675551393
525,roald,62.5833,6.1333,41.32,93,75,18.41,NO,1675551393
526,mikhaylovka,50.06,43.2379,23.7,96,99,7.76,RU,1675551394
527,chalchihuites,23.4833,-103.8833,70.83,21,52,8.3,MX,1675551394
528,mersing,2.4312,103.8405,76.91,94,40,8.05,MY,1675551169
529,tamworth,52.634,-1.6959,47.93,84,100,12.93,GB,1675551394
530,effingham,32.3669,-81.3332,55.35,71,5,4.88,US,1675551395
531,rockingham,42.9668,-71.0995,12.83,35,69,3.85,US,1675551395
532,bilma,18.6853,12.9164,71.33,16,27,4.99,NE,1675551395
533,manicore,-5.8092,-61.3003,78.75,89,40,2.3,BR,1675551103
534,shimoda,34.6667,138.95,43.11,62,42,11.92,JP,1675551396
535,ingham,42.6,-84.3833,32.18,65,0,5.75,US,1675551396
536,doka,13.5167,35.7667,73.83,36,100,11.07,SD,1675551396
537,tezu,27.9167,96.1667,59.38,30,25,3.85,IN,1675551397
538,antalaha,-14.9003,50.2788,74.91,88,41,4.83,MG,1675551397
539,huron,41.1501,-82.5499,36.86,56,40,18.34,US,1675551398
540,tilichiki,60.4667,166.1,-15.48,96,40,8.3,RU,1675551398
541,ust-tsilma,65.441,52.1498,-8.79,100,95,3.06,RU,1675551158
542,cam ranh,11.9214,109.1591,73.36,83,20,5.75,VN,1675551399
543,la ronge,55.1001,-105.2842,12.45,73,100,1.14,CA,1675551399
